Node,Layer,Status,Notes
existence,Atom,Pending,
self,Atom,Pending,
identity,Compound,Pending,Reclassified from original layer to compound
continuity,Atom,Pending,
awareness,Atom,Pending,
motion,Compound,Pending,Reclassified from original layer to compound
change,Atom,Pending,
location,Atom,Pending,
time,Atom,Pending,
value,Atom,Pending,
lack,Atom,Pending,
desire,Compound,Pending,Reclassified from original layer to compound
arousal,Compound,Pending,Reclassified from original layer to compound
perception,Atom,Pending,
relation,Atom,Pending,
structure,Atom,Pending,
action,Atom,Pending,
intention,Compound,Pending,Reclassified from original layer to compound
language,Atom,Pending,
symbol,Atom,Pending,
meaning,Atom,Pending,
thought,Atom,Pending,
memory,Atom,Pending,
attention,Atom,Pending,
belief,Compound,Pending,
truth,Compound,Pending,
emotion,Compound,Pending,
communicate,Compound,Pending,
transmission,Compound,Pending,
speak,Compound,Pending,
listen,Compound,Pending,
model,Compound,Pending,
vector,Structural Type,Pending,Reclassified from original layer to structural type
potential,Meta-Construct,Pending,Reclassified from original layer to meta-construct
difference,Compound,Pending,
expression,Compound,Pending,
presumption,Meta-Construct,Pending,
challenge,Meta-Construct,Pending,
note,Meta-Construct,Pending,
compression,Meta-Construct,Pending,
divergence,Meta-Construct,Pending,
stabilization,Meta-Construct,Pending,
unresolved,Meta-Construct,Pending,
dogma,Meta-Construct,Pending,
best,Evaluator,Pending,Reclassified from original layer to evaluator
worst,Evaluator,Pending,Reclassified from original layer to evaluator
